energy,valence,tempo,danceability,acousticness,instrumentalness,track_name,track_artist,mood
0.592,0.535,157.969,0.521,0.308,0.0,Die With A Smile,"Lady Gaga, Bruno Mars",Happy
0.507,0.438,104.978,0.747,0.2,0.0608,BIRDS OF A FEATHER,Billie Eilish,Energetic
0.808,0.372,108.548,0.554,0.214,0.0,That’s So True,Gracie Abrams,Energetic
0.91,0.786,112.966,0.67,0.0939,0.0,Taste,Sabrina Carpenter,Happy
0.783,0.939,149.027,0.777,0.0283,0.0,APT.,"ROSÉ, Bruno Mars",Happy
0.582,0.785,116.712,0.7,0.0502,0.0,"Good Luck, Babe!",Chappell Roan,Happy
0.561,0.841,150.069,0.669,0.495,0.00962,Diet Pepsi,Addison Rae,Happy
0.247,0.126,148.101,0.467,0.612,0.000271,WILDFLOWER,Billie Eilish,Sad
0.416,0.297,94.926,0.492,0.686,8.61e-05,Sailor Song,Gigi Perez,Sad
0.722,0.57,119.973,0.769,0.0584,2.56e-06,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",Happy
0.667,0.618,130.019,0.776,0.0146,0.3,Guess featuring billie eilish,"Charli xcx, Billie Eilish",Happy
0.586,0.579,107.071,0.669,0.274,0.0,Please Please Please,Sabrina Carpenter,Happy
0.806,0.587,104.032,0.608,0.121,0.0,2 hands,Tate McRae,Happy
0.709,0.604,81.012,0.722,0.0633,0.0,A Bar Song (Tipsy),Shaboozey,Happy
0.757,0.957,139.982,0.742,0.0187,0.0,HOT TO GO!,Chappell Roan,Happy
0.917,0.501,100.987,0.562,0.0513,0.0,Disease,Lady Gaga,Happy
0.787,0.672,109.939,0.734,0.126,0.0,Moonlit Floor (Kiss Me),LISA,Happy
0.843,0.746,122.064,0.619,0.00948,0.000118,Love Somebody,Morgan Wallen,Happy
0.406,0.338,115.94,0.53,0.656,0.0,"I Love You, I'm Sorry",Gracie Abrams,Sad
0.782,0.655,119.992,0.727,0.0563,0.336,Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Happy
0.812,0.664,80.09,0.505,0.285,0.0,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",Happy
